,liker_name
deliahuang0306,6
diana900416,5
hsiangling0319,5
chao_wei11,5
amyliaolingchun,5
haohsuan_hsu,5
sunchigg,4
andrea53611,4
nj.__z,4
supercollege,4
claychief,3
danil11924,3
amiip,3
pohsuanlin,3
luzir___,3
chanshan_neal_yang,3
z39123,3
tiffany0331,3
ivy_lee331,2
o921107523,2
amandawaa,2
omnomtaiwan,2
wen20233,2
owen987633,2
jayjay3811,2
samlee0712,1
tsaixuan0327,1
ak223704,1
_tzuhsuan_pighsuan_,1
violintingwei,1
tommyiao,1
zxc27233734,1
wangshihsi,1
lee_wei_hsuan_,1
somewhereintime11,1
hsiaochuuuuu,1
andy09chen,1
journeygigi,1
hsuhsuchen,1
09.29kai,1
kaihelei,1
samuelcys,1
vito_huangshangchieh,1
jun_wei_06_30,1
ycchen0321,1
jou_x.x,1
xi__.ex,1
tjsheng,1
po_chu_chen,1
ididit916,1
rgmiru,1
sandychyang,1
georgechia0709,1
vickiemm000,1
matt28120841,1
chin_stagram_owo,1
carollin24,1
curiousboy12,1
aibo.tw,1
myeliu1214,1
linboren,1
